ParticipantID,InterfaceID,Environment,TimeInsideBuilding
10,3,1,73.46
11,1,1,61.1
12,1,1,66.58
13,3,1,48.44
14,1,1,57.6
15,1,1,78.04
16,1,1,51.13
17,3,1,47.67
18,3,1,65.38
19,4,1,109.65
1,1,1,95.23
20,3,1,46.09
21,3,1,73.07
22,3,1,51.26
23,1,1,69.32
24,1,1,55.18
25,1,1,67.63
26,4,1,30.46
27,3,1,38.47
28,2,1,85.34
29,1,1,68.99
2,4,1,35.39
30,4,1,53.4
3,3,1,52.33
4,2,1,44.08
5,1,1,56.77
6,4,1,47.13
7,4,1,32.02
8,3,1,19.74
9,3,1,42.88
10,4,2,75.92
11,3,2,32.69
12,2,2,52.15
13,2,2,53.85
14,3,2,60.04
15,4,2,58.5
16,3,2,46.46
17,4,2,56.87
18,2,2,74.26
19,1,2,40.05
1,2,2,51.58
20,1,2,57.04
21,2,2,84.08
22,1,2,54.18
23,2,2,57.09
24,4,2,58.94
25,2,2,60.99
26,1,2,32.2
27,1,2,30.51
28,1,2,106.53
29,3,2,57.3
2,1,2,46.72
30,3,2,33.04
3,1,2,41.01
4,1,2,48.52
5,3,2,45.1
6,3,2,41.82
7,3,2,53.97
8,2,2,74.65
9,1,2,32.94
10,1,3,85.41
11,2,3,65.93
12,4,3,58.85
13,1,3,71.06
14,4,3,58.92
15,3,3,64.52
16,2,3,99.98
17,1,3,43.61
18,4,3,70.19
19,2,3,63.47
1,3,3,88.62
20,4,3,47.75
21,4,3,73.08
22,2,3,51.9
23,4,3,97.82
24,3,3,59.66
25,3,3,82.62
26,3,3,41.75
27,4,3,40.85
28,3,3,64.58
29,4,3,82.45
2,3,3,54.61
30,2,3,36.05
3,4,3,51.8
4,3,3,41.3
5,4,3,60.05
6,2,3,45.2
7,1,3,73.04
8,1,3,65.66
9,2,3,33.3
10,2,4,108.3
11,4,4,58.21
12,3,4,45.21
13,4,4,78.87
14,2,4,79.94
15,2,4,66.64
16,4,4,72.2
17,2,4,53.92
18,1,4,47.81
19,3,4,51.75
1,4,4,99.77
20,2,4,76.79
21,1,4,128.5
22,4,4,79.65
23,3,4,28.48
24,2,4,58.76
25,4,4,68.98
26,2,4,45.02
27,2,4,40.47
28,4,4,84.54
29,2,4,60.83
2,2,4,65.24
30,1,4,31.06
3,2,4,77.8
4,4,4,80.24
5,2,4,44.77
6,1,4,67.45
7,2,4,107.04
8,4,4,65.63
9,4,4,33.75
